Year,FIPS,Med_Home,Med_Inc,HIR
1989,6001,227399.0,36574,6.22
1990,6001,239325.0,37982,6.3
1991,6001,233568.0,39389,5.93
1992,6001,231894.0,40796,5.68
1993,6001,226448.0,42204,5.37
1994,6001,222376.0,44598,4.99
1995,6001,219784.0,46992,4.68
1996,6001,196700.0,48139,4.09
1997,6001,207900.0,49286,4.22
1998,6001,234700.0,50965,4.61
1999,6001,259000.0,54340,4.77
2000,6001,342000.0,59223,5.77
2001,6001,387600.0,58331,6.64
2002,6001,398600.0,59036,6.75
2003,6001,435700.0,56225,7.75
2004,6001,501800.0,57659,8.7
2005,6001,620600.0,60937,10.18
2006,6001,638000.0,64285,9.92
2007,6001,618000.0,68263,9.05
2008,6001,512300.0,70217,7.3
2009,6001,447500.0,68258,6.56
2010,6001,451500.0,66937,6.75
2011,6001,407500.0,67295,6.06
2012,6001,413100.0,70209,5.88
2013,6001,523500.0,72128,7.26
2014,6001,595700.0,76996,7.74
2015,6001,672900.0,81462,8.26
2016,6001,728200.0,89472,8.14
2017,6001,785800.0,95550,8.22
2018,6001,872200.0,101744,8.57
1989,6005,148568.0,29900,4.97
1990,6005,173926.0,31140,5.59
1991,6005,186797.0,32379,5.77
1992,6005,191530.0,33618,5.7
1993,6005,187022.0,34858,5.37
1994,6005,185030.0,36794,5.03
1995,6005,183745.0,38729,4.74
1996,6005,138300.0,39842,3.47
1997,6005,139800.0,40956,3.41
1998,6005,145000.0,42713,3.39
1999,6005,152500.0,42950,3.55
2000,6005,161700.0,46108,3.51
2001,6005,168900.0,44887,3.76
2002,6005,187600.0,46891,4.0
2003,6005,225500.0,44494,5.07
2004,6005,270900.0,47459,5.71
2005,6005,348100.0,52078,6.68
2006,6005,360000.0,50528,7.12
2007,6005,334200.0,54903,6.09
2008,6005,284500.0,53951,5.27
2009,6005,220600.0,54461,4.05
2010,6005,203100.0,49516,4.1
2011,6005,171800.0,51553,3.33
2012,6005,172800.0,51388,3.36
2013,6005,213200.0,52357,4.07
2014,6005,215200.0,54610,3.94
2015,6005,235800.0,55879,4.22
2016,6005,250800.0,59789,4.19
2017,6005,276600.0,60588,4.57
2018,6005,297300.0,58515,5.08
1989,6007,100957.0,24214,4.17
1990,6007,117827.0,24904,4.73
1991,6007,125033.0,25594,4.89
1992,6007,125986.0,26284,4.79
1993,6007,125517.0,26975,4.65
1994,6007,126080.0,29010,4.35
1995,6007,126279.0,31046,4.07
1996,6007,108700.0,31634,3.44
1997,6007,102600.0,32221,3.18
1998,6007,107300.0,33295,3.22
1999,6007,114400.0,32506,3.52
2000,6007,124700.0,34306,3.63
2001,6007,141700.0,33480,4.23
2002,6007,160500.0,34331,4.68
2003,6007,196800.0,33528,5.87
2004,6007,236800.0,34891,6.79
2005,6007,289600.0,36303,7.98
2006,6007,295800.0,40023,7.39
2007,6007,277400.0,39466,7.03
2008,6007,244200.0,40308,6.06
2009,6007,215400.0,41196,5.23
2010,6007,203900.0,41168,4.95
2011,6007,181000.0,39208,4.62
2012,6007,176000.0,40748,4.32
2013,6007,203200.0,42395,4.79
2014,6007,213500.0,42302,5.05
2015,6007,223100.0,45369,4.92
2016,6007,240900.0,45097,5.34
2017,6007,255900.0,48634,5.26
2018,6007,277600.0,50945,5.45
1989,6009,141994.0,29336,4.84
1990,6009,160075.0,30128,5.31
1991,6009,175129.0,30921,5.66
1992,6009,175815.0,31714,5.54
1993,6009,174702.0,32506,5.37
1994,6009,170562.0,34144,5.0
1995,6009,167961.0,35781,4.69
1996,6009,135700.0,36812,3.69
1997,6009,135400.0,37844,3.58
1998,6009,143300.0,40535,3.54
1999,6009,149700.0,41649,3.59
2000,6009,162800.0,44742,3.64
2001,6009,172300.0,43892,3.93
2002,6009,196800.0,45711,4.31
2003,6009,229200.0,43462,5.27
2004,6009,286900.0,46052,6.23
2005,6009,360800.0,47639,7.57
2006,6009,388700.0,52745,7.37
2007,6009,361000.0,51447,7.02
2008,6009,305600.0,52850,5.78
2009,6009,247800.0,51564,4.81
2010,6009,211500.0,50745,4.17
2011,6009,190100.0,50599,3.76
2012,6009,188500.0,50962,3.7
2013,6009,211200.0,52598,4.02
2014,6009,228400.0,53321,4.28
2015,6009,237100.0,52471,4.52
2016,6009,251700.0,57990,4.34
2017,6009,276000.0,58536,4.72
2018,6009,294500.0,62984,4.68
1989,6011,95263.0,25958,3.67
1990,6011,104097.0,26709,3.9
1991,6011,116140.0,27460,4.23
1992,6011,123250.0,28211,4.37
1993,6011,125015.0,28962,4.32
1994,6011,122691.0,30054,4.08
1995,6011,128865.0,31145,4.14
1996,6011,122500.0,32408,3.78
1997,6011,116300.0,33670,3.45
1998,6011,124400.0,34359,3.62
1999,6011,132400.0,35737,3.7
2000,6011,145000.0,38425,3.77
2001,6011,151600.0,37308,4.06
2002,6011,158300.0,37089,4.27
2003,6011,137000.0,36579,3.75
2004,6011,172300.0,38350,4.49
2005,6011,243500.0,39186,6.21
2006,6011,287900.0,40240,7.15
2007,6011,265900.0,43882,6.06
2008,6011,210800.0,44622,4.72
2009,6011,178900.0,47472,3.77
2010,6011,144200.0,44981,3.21
2011,6011,126800.0,47469,2.67
2012,6011,125700.0,49871,2.52
2013,6011,139900.0,48897,2.86
2014,6011,177400.0,48006,3.7
2015,6011,185200.0,51118,3.62
2016,6011,187700.0,54861,3.42
2017,6011,193300.0,53595,3.61
2018,6011,212300.0,57249,3.71
1989,6013,212167.0,43970,4.83
1990,6013,231529.0,45389,5.1
1991,6013,229989.0,46808,4.91
1992,6013,227398.0,48227,4.72
1993,6013,220954.0,49646,4.45
1994,6013,216394.0,52648,4.11
1995,6013,211668.0,55651,3.8
1996,6013,184900.0,56316,3.28
1997,6013,194900.0,56980,3.42
1998,6013,215800.0,60340,3.58
1999,6013,229000.0,64145,3.57
2000,6013,275000.0,68495,4.01
2001,6013,331200.0,68667,4.82
2002,6013,357600.0,69479,5.15
2003,6013,404100.0,64365,6.28
2004,6013,468800.0,65459,7.16
2005,6013,591900.0,69463,8.52
2006,6013,597700.0,74058,8.07
2007,6013,557000.0,76317,7.3
2008,6013,434900.0,78469,5.54
2009,6013,348800.0,75084,4.65
2010,6013,335500.0,73678,4.55
2011,6013,298300.0,74241,4.02
2012,6013,300900.0,74208,4.05
2013,6013,380500.0,78909,4.82
2014,6013,443300.0,80338,5.52
2015,6013,494100.0,83036,5.95
2016,6013,536100.0,90920,5.9
2017,6013,578100.0,95062,6.08
2018,6013,618300.0,101463,6.09
1989,6017,167825.0,35169,4.77
1990,6017,198335.0,36476,5.44
1991,6017,209580.0,37782,5.55
1992,6017,207191.0,39089,5.3
1993,6017,202069.0,40396,5.0
1994,6017,199966.0,43022,4.65
1995,6017,198643.0,45648,4.35
1996,6017,159000.0,46808,3.4
1997,6017,162200.0,47967,3.38
1998,6017,171700.0,50383,3.41
1999,6017,180000.0,52465,3.43
2000,6017,207000.0,56098,3.69
2001,6017,249400.0,55453,4.5
2002,6017,279400.0,56904,4.91
2003,6017,327100.0,54131,6.04
2004,6017,381300.0,56629,6.73
2005,6017,475400.0,62199,7.64
2006,6017,489100.0,67605,7.23
2007,6017,462400.0,64256,7.2
2008,6017,392600.0,67019,5.86
2009,6017,325600.0,68778,4.73
2010,6017,303300.0,65201,4.65
2011,6017,281600.0,61970,4.54
2012,6017,274600.0,68446,4.01
2013,6017,318200.0,63002,5.05
2014,6017,357600.0,70235,5.09
2015,6017,381000.0,75575,5.04
2016,6017,407600.0,75100,5.43
2017,6017,431900.0,78464,5.5
2018,6017,465400.0,81869,5.68
1989,6019,99390.0,27028,3.68
1990,6019,108501.0,27684,3.92
1991,6019,118770.0,28339,4.19
1992,6019,122796.0,28994,4.24
1993,6019,122720.0,29650,4.14
1994,6019,120395.0,31618,3.81
1995,6019,118941.0,33587,3.54
1996,6019,99200.0,33946,2.92
1997,6019,98500.0,34305,2.87
1998,6019,101200.0,34755,2.91
1999,6019,101900.0,34603,2.94
2000,6019,108300.0,37386,2.9
2001,6019,116800.0,36250,3.22
2002,6019,132300.0,36850,3.59
2003,6019,161600.0,36003,4.49
2004,6019,202800.0,36930,5.49
2005,6019,270000.0,41390,6.52
2006,6019,299600.0,42433,7.06
2007,6019,269700.0,46547,5.79
2008,6019,215000.0,43534,4.94
2009,6019,174200.0,45219,3.85
2010,6019,164000.0,44869,3.66
2011,6019,144800.0,42572,3.4
2012,6019,141900.0,41563,3.41
2013,6019,159700.0,43741,3.65
2014,6019,181300.0,43338,4.18
2015,6019,193700.0,46608,4.16
2016,6019,208200.0,48323,4.31
2017,6019,225900.0,51452,4.39
2018,6019,241600.0,52318,4.62
1989,6021,89428.0,24125,3.71
1990,6021,100665.0,24768,4.06
1991,6021,118051.0,25412,4.65
1992,6021,119406.0,26055,4.58
1993,6021,122999.0,26698,4.61
1994,6021,125776.0,28037,4.49
1995,6021,123906.0,29376,4.22
1996,6021,120900.0,30566,3.96
1997,6021,110300.0,31755,3.47
1998,6021,118400.0,32232,3.67
1999,6021,124700.0,32687,3.81
2000,6021,129900.0,34838,3.73
2001,6021,148100.0,33878,4.37
2002,6021,134600.0,34007,3.96
2003,6021,123400.0,32725,3.77
2004,6021,158900.0,34883,4.56
2005,6021,207200.0,35707,5.8
2006,6021,225400.0,38093,5.92
2007,6021,212900.0,38521,5.53
2008,6021,177200.0,39641,4.47
2009,6021,151700.0,41904,3.62
2010,6021,136400.0,40859,3.34
2011,6021,125600.0,40221,3.12
2012,6021,123700.0,41201,3.0
2013,6021,133800.0,42129,3.18
2014,6021,150300.0,43755,3.44
2015,6021,164800.0,43584,3.78
2016,6021,176400.0,46141,3.82
2017,6021,186400.0,49979,3.73
2018,6021,206100.0,47365,4.35
1989,6023,103053.0,25654,4.02
1990,6023,119853.0,26371,4.54
1991,6023,129650.0,27088,4.79
1992,6023,135221.0,27806,4.86
1993,6023,140218.0,28523,4.92
1994,6023,140236.0,30026,4.67
1995,6023,141659.0,31530,4.49
1996,6023,116200.0,32516,3.57
1997,6023,103300.0,33501,3.08
1998,6023,106900.0,34654,3.08
1999,6023,109000.0,32729,3.33
2000,6023,116000.0,34590,3.35
2001,6023,125300.0,33464,3.74
2002,6023,141700.0,33792,4.19
2003,6023,168300.0,32211,5.22
2004,6023,201600.0,33281,6.06
2005,6023,260000.0,33923,7.66
2006,6023,283500.0,38796,7.31
2007,6023,268000.0,37281,7.19
2008,6023,251700.0,39627,6.35
2009,6023,231300.0,35985,6.43
2010,6023,222300.0,38254,5.81
2011,6023,206400.0,39526,5.22
2012,6023,198100.0,39837,4.97
2013,6023,204300.0,40882,5.0
2014,6023,212100.0,40581,5.23
2015,6023,215400.0,40739,5.29
2016,6023,246000.0,43164,5.7
2017,6023,282100.0,46123,6.12
2018,6023,289300.0,49471,5.85
1989,6025,86023.0,20884,4.12
1990,6025,91354.0,21360,4.28
1991,6025,95704.0,21836,4.38
1992,6025,100499.0,22312,4.5
1993,6025,102926.0,22789,4.52
1994,6025,103517.0,24094,4.3
1995,6025,105955.0,25399,4.17
1996,6025,110300.0,26122,4.22
1997,6025,99800.0,26844,3.72
1998,6025,93200.0,27840,3.35
1999,6025,102700.0,31418,3.27
2000,6025,100800.0,34749,2.9
2001,6025,114200.0,33333,3.43
2002,6025,118500.0,33950,3.49
2003,6025,129900.0,32637,3.98
2004,6025,151700.0,33674,4.5
2005,6025,204700.0,35085,5.83
2006,6025,250400.0,36275,6.9
2007,6025,234600.0,33576,6.99
2008,6025,178200.0,36894,4.83
2009,6025,128700.0,37846,3.4
2010,6025,123300.0,39261,3.14
2011,6025,119900.0,36898,3.25
2012,6025,119400.0,38185,3.13
2013,6025,129400.0,40106,3.23
2014,6025,133500.0,38737,3.45
2015,6025,146000.0,39925,3.66
2016,6025,167100.0,43327,3.86
2017,6025,189000.0,43413,4.35
2018,6025,198700.0,46633,4.26
