Year,State,FIPS,Areaname,Med_House_Price
1975,AL,1073,"Jefferson, AL",40314
1975,AL,1081,"Lee, AL",48585
1975,AL,1089,"Madison, AL",48583
1975,AL,1097,"Mobile, AL",36041
1975,AL,1117,"Shelby, AL",62604
1975,AK,2020,"Anchorage, AK",64903
1975,AK,2090,"Fairbanks North Star, AK",69983
1975,AZ,4013,"Maricopa, AZ",40714
1975,AZ,4019,"Pima, AZ",35532
1975,AR,5119,"Pulaski, AR",35988
1975,AR,5131,"Sebastian, AR",36033
1975,AR,5143,"Washington, AR",40879
1975,CA,6001,"Alameda, CA",48538
1975,CA,6007,"Butte, CA",37514
1975,CA,6013,"Contra Costa, CA",50499
1975,CA,6017,"El Dorado, CA",54904
1975,CA,6019,"Fresno, CA",38059
1975,CA,6029,"Kern, CA",36007
1975,CA,6031,"Kings, CA",32936
1975,CA,6037,"Los Angeles, CA",42529
1975,CA,6039,"Madera, CA",40147
1975,CA,6041,"Marin, CA",71264
1975,CA,6045,"Mendocino, CA",39491
1975,CA,6047,"Merced, CA",30407
1975,CA,6053,"Monterey, CA",42947
1975,CA,6055,"Napa, CA",44624
1975,CA,6059,"Orange, CA",52841
1975,CA,6061,"Placer, CA",50644
1975,CA,6065,"Riverside, CA",40314
1975,CA,6067,"Sacramento, CA",38870
1975,CA,6071,"San Bernardino, CA",34009
1975,CA,6073,"San Diego, CA",47378
1975,CA,6075,"San Francisco, CA",52694
1975,CA,6077,"San Joaquin, CA",41442
1975,CA,6079,"San Luis Obispo, CA",42102
1975,CA,6081,"San Mateo, CA",61176
1975,CA,6083,"Santa Barbara, CA",42633
1975,CA,6085,"Santa Clara, CA",49676
1975,CA,6087,"Santa Cruz, CA",49667
1975,CA,6095,"Solano, CA",40677
1975,CA,6097,"Sonoma, CA",43636
1975,CA,6099,"Stanislaus, CA",33831
1975,CA,6107,"Tulare, CA",34080
1975,CA,6111,"Ventura, CA",43405
1975,CO,8001,"Adams, CO",33746
1975,CO,8005,"Arapahoe, CO",42162
1975,CO,8013,"Boulder, CO",46776
1975,CO,8031,"Denver, CO",32916
1975,CO,8041,"El Paso, CO",42046
1975,CO,8059,"Jefferson, CO",45387
1975,CO,8069,"Larimer, CO",43395
1975,CO,8075,"Logan, CO",32132
1975,CO,8077,"Mesa, CO",38414
1975,CO,8101,"Pueblo, CO",38880
