Year,State,FIPS,Areaname,Med_House_Price
1975,AL,1073,"Jefferson, AL",37138
1975,AL,1081,"Lee, AL",45459
1975,AL,1089,"Madison, AL",46886
1975,AL,1097,"Mobile, AL",34203
1975,AL,1117,"Shelby, AL",58155
1975,AK,2020,"Anchorage, AK",62357
1975,AK,2090,"Fairbanks North Star, AK",67170
1975,AZ,4013,"Maricopa, AZ",35767
1975,AZ,4019,"Pima, AZ",32959
1975,AR,5119,"Pulaski, AR",34784
1975,AR,5131,"Sebastian, AR",34358
1975,AR,5143,"Washington, AR",37560
1975,CA,6001,"Alameda, CA",40136
1975,CA,6007,"Butte, CA",33778
1975,CA,6013,"Contra Costa, CA",43028
1975,CA,6017,"El Dorado, CA",48416
1975,CA,6019,"Fresno, CA",34279
1975,CA,6029,"Kern, CA",33399
1975,CA,6031,"Kings, CA",29023
1975,CA,6037,"Los Angeles, CA",37482
1975,CA,6039,"Madera, CA",35647
1975,CA,6041,"Marin, CA",61313
1975,CA,6045,"Mendocino, CA",33749
1975,CA,6047,"Merced, CA",26150
1975,CA,6053,"Monterey, CA",36546
1975,CA,6055,"Napa, CA",37852
1975,CA,6059,"Orange, CA",47778
1975,CA,6061,"Placer, CA",45754
1975,CA,6065,"Riverside, CA",35996
1975,CA,6067,"Sacramento, CA",33611
1975,CA,6071,"San Bernardino, CA",30234
1975,CA,6073,"San Diego, CA",42332
1975,CA,6075,"San Francisco, CA",43275
1975,CA,6077,"San Joaquin, CA",35739
1975,CA,6079,"San Luis Obispo, CA",37165
1975,CA,6081,"San Mateo, CA",50002
1975,CA,6083,"Santa Barbara, CA",37699
1975,CA,6085,"Santa Clara, CA",41476
1975,CA,6087,"Santa Cruz, CA",42334
1975,CA,6095,"Solano, CA",34648
1975,CA,6097,"Sonoma, CA",37284
1975,CA,6099,"Stanislaus, CA",28941
1975,CA,6107,"Tulare, CA",30360
1975,CA,6111,"Ventura, CA",39268
1975,CO,8001,"Adams, CO",26243
1975,CO,8005,"Arapahoe, CO",33926
1975,CO,8013,"Boulder, CO",37990
1975,CO,8031,"Denver, CO",27136
1975,CO,8041,"El Paso, CO",37288
1975,CO,8059,"Jefferson, CO",36908
1975,CO,8069,"Larimer, CO",35692
1975,CO,8075,"Logan, CO",30621
1975,CO,8077,"Mesa, CO",34626
1975,CO,8101,"Pueblo, CO",34525
1975,CO,8123,"Weld, CO",35242
1975,CT,9001,"Fairfield, CT",67572
1975,CT,9003,"Hartford, CT",47331
1975,CT,9005,"Litchfield, CT",50769
1975,CT,9007,"Middlesex, CT",44474
1975,CT,9009,"New Haven, CT",48031
1975,DE,10003,"New Castle, DE",48832
1975,DC,11001,District of Columbia,38507
1975,FL,12001,"Alachua, FL",47137
1975,FL,12005,"Bay, FL",31312
1975,FL,12011,"Broward, FL",44631
1975,FL,12021,"Collier, FL",41202
1975,FL,12031,"Duval, FL",33556
1975,FL,12057,"Hillsborough, FL",31320
1975,FL,12061,"Indian River, FL",74858
1975,FL,12071,"Lee, FL",39911
1975,FL,12073,"Leon, FL",41476
1975,FL,12081,"Manatee, FL",32687
1975,FL,12085,"Martin, FL",39732
1975,FL,12086,"Miami-Dade, FL",31476
1975,FL,12095,"Orange, FL",30285
1975,FL,12099,"Palm Beach, FL",48281
1975,FL,12103,"Pinellas, FL",27975
1975,FL,12105,"Polk, FL",26872
1975,FL,12111,"St. Lucie, FL",39195
1975,FL,12115,"Sarasota, FL",34512
1975,FL,12117,"Seminole, FL",42201
1975,FL,12127,"Volusia, FL",32504
1975,GA,13021,"Bibb, GA",45660
1975,GA,13051,"Chatham, GA",36546
1975,GA,13059,"Clarke, GA",32827
1975,GA,13063,"Clayton, GA",41973
1975,GA,13067,"Cobb, GA",52111
1975,GA,13089,"DeKalb, GA",36917
1975,GA,13095,"Dougherty, GA",39505
1975,GA,13097,"Douglas, GA",43129
1975,GA,13121,"Fulton, GA",46031
1975,GA,13135,"Gwinnett, GA",49000
