FIPS,County,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,State
1001,Autauga County,18494,18654,18816,18979,19143,19309,19476,19645,19815,19987,20160,20335,20511,20689,20868,21049,21231,21415,21600,21787,21976,22166,22351,22471,22837,22964,23104,23280,23494,23734,Alabama
1003,Baldwin County,77409,78516,79638,80777,81932,83103,84291,85496,86718,87958,89215,90490,91784,93096,94427,95777,97146,98535,99944,101373,102822,104292,104930,105671,106795,108082,109412,111579,114134,116631,Alabama
1005,Barbour County,11390,11411,11432,11453,11474,11495,11516,11537,11558,11579,11600,11621,11642,11663,11684,11705,11726,11747,11768,11789,11810,11832,11841,11901,11901,11908,11919,11940,11970,12005,Alabama
1007,Bibb County,8365,8394,8423,8452,8481,8510,8539,8568,8597,8627,8657,8687,8717,8747,8777,8807,8837,8867,8897,8928,8959,8990,9006,9031,9055,9084,9114,9142,9189,9239,Alabama
1009,Blount County,22561,22623,22685,22747,22810,22873,22936,22999,23062,23125,23189,23253,23317,23381,23445,23509,23574,23639,23704,23769,23834,23900,23948,23992,24028,24066,24107,24209,24313,24429,Alabama
1011,Bullock County,4346,4353,4360,4367,4374,4381,4388,4395,4402,4409,4416,4423,4430,4437,4444,4451,4458,4465,4472,4479,4486,4493,4497,4502,4504,4508,4513,4521,4535,4552,Alabama
1013,Butler County,9649,9664,9679,9694,9709,9724,9739,9754,9769,9784,9799,9814,9829,9844,9859,9874,9889,9904,9919,9934,9949,9964,9968,9986,9995,10002,10008,10022,10054,10087,Alabama
1015,Calhoun County,51893,51961,52029,52097,52165,52233,52301,52369,52437,52505,52573,52641,52710,52779,52848,52917,52986,53055,53124,53193,53262,53331,53402,53469,53504,53532,53608,53661,53773,53888,Alabama
1017,Chambers County,16910,16914,16918,16922,16926,16930,16934,16938,16942,16946,16950,16954,16958,16962,16966,16970,16974,16978,16982,16986,16990,16994,16990,16984,16979,16971,16971,16974,17001,17023,Alabama
1019,Cherokee County,15311,15356,15401,15446,15491,15536,15581,15627,15673,15719,15765,15811,15857,15903,15949,15996,16043,16090,16137,16184,16231,16278,16302,16379,16406,16434,16462,16505,16577,16661,Alabama
1021,Chilton County,17995,18054,18113,18173,18233,18293,18353,18413,18474,18535,18596,18657,18718,18780,18842,18904,18966,19028,19091,19154,19217,19280,19316,19359,19391,19426,19525,19580,19671,19791,Alabama
1023,Choctaw County,6956,6971,6986,7001,7016,7031,7046,7061,7076,7091,7106,7121,7136,7151,7166,7181,7196,7211,7226,7241,7256,7271,7280,7292,7300,7309,7319,7335,7363,7394,Alabama
1025,Clarke County,12217,12237,12257,12277,12297,12317,12337,12357,12377,12397,12417,12437,12457,12477,12497,12517,12537,12558,12579,12600,12621,12642,12649,12662,12672,12689,12707,12726,12764,12808,Alabama
1027,Clay County,6629,6636,6643,6650,6657,6664,6671,6678,6685,6692,6699,6706,6713,6720,6727,6734,6741,6748,6755,6762,6769,6776,6779,6784,6784,6787,6791,6798,6815,6835,Alabama
1029,Cleburne County,6401,6416,6431,6446,6461,6476,6491,6506,6521,6536,6551,6566,6581,6596,6611,6627,6643,6659,6675,6691,6707,6723,6738,6750,6758,6767,6778,6794,6820,6850,Alabama
1031,Coffee County,20155,20255,20356,20457,20559,20661,20764,20867,20971,21075,21180,21286,21392,21499,21606,21714,21822,21931,22040,22150,22260,22371,22593,22801,22881,22955,23007,23064,23150,23273,Alabama
1033,Colbert County,23420,23527,23635,23743,23852,23961,24071,24181,24292,24403,24515,24627,24740,24853,24967,25081,25196,25311,25427,25543,25660,25777,25842,25949,26087,26231,26348,26452,26583,26731,Alabama
1035,Conecuh County,6886,6896,6906,6916,6926,6936,6946,6956,6966,6976,6986,6996,7006,7016,7026,7036,7046,7056,7066,7076,7086,7096,7100,7106,7110,7114,7122,7135,7155,7177,Alabama
1037,Coosa County,6227,6239,6251,6263,6275,6287,6299,6311,6323,6335,6348,6361,6374,6387,6400,6413,6426,6439,6452,6465,6478,6491,6497,6507,6513,6521,6529,6543,6567,6594,Alabama
1039,Covington County,18472,18489,18506,18523,18540,18557,18574,18591,18608,18625,18642,18659,18676,18693,18710,18727,18744,18762,18780,18798,18816,18834,18841,18859,18865,18881,18887,18902,18936,18975,Alabama
1041,Crenshaw County,6480,6492,6504,6516,6528,6540,6552,6564,6576,6588,6600,6612,6624,6636,6648,6660,6672,6684,6696,6708,6720,6732,6736,6749,6755,6763,6770,6780,6803,6829,Alabama
1043,Cullman County,34680,34790,34901,35012,35123,35235,35347,35459,35572,35685,35799,35913,36027,36142,36257,36372,36488,36604,36720,36837,36954,37072,37118,37220,37283,37377,37481,37599,37802,38023,Alabama
1045,Dale County,21576,21628,21681,21734,21787,21840,21893,21946,21999,22052,22106,22160,22214,22268,22322,22376,22430,22485,22540,22595,22650,22705,22840,22878,22953,22975,22998,23024,23085,23149,Alabama
1047,Dallas County,19809,19828,19847,19866,19885,19904,19923,19942,19961,19980,19999,20018,20037,20056,20075,20094,20113,20132,20151,20170,20189,20208,20242,20302,20284,20325,20326,20321,20339,20361,Alabama
1049,DeKalb County,29756,29820,29884,29948,30012,30076,30140,30205,30270,30335,30400,30465,30530,30595,30661,30727,30793,30859,30925,30991,31057,31124,31169,31222,31256,31304,31359,31423,31527,31660,Alabama
1051,Elmore County,28501,28687,28875,29064,29254,29445,29638,29832,30027,30223,30421,30620,30820,31021,31224,31428,31633,31840,32048,32258,32469,32681,32839,33017,33271,33551,33841,34054,34241,34418,Alabama
1053,Escambia County,16017,16039,16061,16083,16105,16127,16149,16171,16193,16216,16239,16262,16285,16308,16331,16354,16377,16400,16423,16446,16469,16492,16500,16520,16524,16533,16564,16580,16624,16676,Alabama
1055,Etowah County,46492,46538,46584,46630,46676,46722,46768,46814,46860,46906,46952,46999,47046,47093,47140,47187,47234,47281,47328,47375,47422,47469,47514,47565,47592,47608,47628,47664,47745,47846,Alabama
1057,Fayette County,8248,8257,8266,8275,8284,8293,8302,8311,8320,8329,8338,8347,8356,8365,8374,8383,8392,8401,8410,8419,8428,8437,8441,8449,8450,8454,8457,8465,8484,8507,Alabama
1059,Franklin County,13509,13533,13557,13581,13605,13629,13653,13677,13702,13727,13752,13777,13802,13827,13852,13877,13902,13927,13952,13977,14002,14027,14036,14071,14075,14109,14120,14162,14194,14229,Alabama
1061,Geneva County,12278,12297,12316,12335,12354,12373,12392,12411,12430,12450,12470,12490,12510,12530,12550,12570,12590,12610,12630,12650,12670,12690,12707,12724,12730,12740,12751,12768,12806,12850,Alabama
1063,Greene County,4743,4755,4767,4779,4791,4803,4815,4827,4839,4851,4864,4877,4890,4903,4916,4929,4942,4955,4968,4981,4994,5007,5014,5023,5031,5040,5050,5063,5086,5111,Alabama
1065,Hale County,7205,7226,7247,7268,7289,7310,7332,7354,7376,7398,7420,7442,7464,7486,7508,7530,7552,7574,7596,7618,7640,7663,7687,7703,7720,7734,7750,7767,7803,7845,Alabama
1067,Henry County,8202,8234,8266,8298,8330,8363,8396,8429,8462,8495,8528,8561,8594,8628,8662,8696,8730,8764,8798,8832,8867,8902,8946,8994,9018,9040,9063,9091,9133,9183,Alabama
1069,Houston County,39603,39861,40120,40381,40644,40909,41175,41443,41713,41984,42257,42532,42809,43088,43368,43650,43934,44220,44508,44798,45090,45383,45600,45816,46275,46594,46869,47124,47434,47784,Alabama
1071,Jackson County,23636,23690,23744,23798,23852,23907,23962,24017,24072,24127,24182,24237,24292,24348,24404,24460,24516,24572,24628,24684,24740,24797,24822,24877,24900,24945,25000,25070,25169,25253,Alabama
1073,Jefferson County,278374,279396,280422,281452,282486,283523,284564,285609,286658,287711,288768,289828,290892,291960,293032,294108,295188,296272,297360,298452,299548,300648,301178,302067,303583,304619,306046,307689,308879,309560,Alabama
1075,Lamar County,7146,7156,7166,7176,7186,7196,7206,7216,7226,7236,7246,7256,7266,7276,7286,7296,7306,7316,7326,7336,7346,7356,7361,7368,7371,7376,7381,7391,7410,7435,Alabama
1077,Lauderdale County,39710,39896,40083,40271,40460,40650,40840,41031,41223,41416,41610,41805,42001,42198,42396,42595,42795,42995,43196,43398,43601,43805,43928,44027,44286,44422,44452,44645,44834,45463,Alabama
1079,Lawrence County,14620,14649,14678,14707,14736,14765,14794,14823,14852,14881,14910,14939,14968,14997,15026,15055,15085,15115,15145,15175,15205,15235,15252,15275,15290,15309,15329,15360,15414,15475,Alabama
1081,Lee County,46163,46842,47531,48230,48939,49658,50388,51129,51881,52644,53418,54203,55000,55809,56629,57462,58307,59164,60034,60917,61813,62722,63707,64684,65393,66112,67039,67928,68896,70369,Alabama
1083,Limestone County,31342,31508,31675,31843,32012,32182,32353,32525,32697,32870,33044,33219,33395,33572,33750,33929,34109,34290,34472,34655,34839,35024,35206,35362,35498,35638,35835,36020,36249,36529,Alabama
1085,Lowndes County,4926,4936,4946,4956,4966,4976,4986,4996,5006,5016,5026,5036,5046,5056,5066,5076,5086,5096,5106,5117,5128,5139,5140,5145,5147,5152,5161,5175,5198,5224,Alabama
1087,Macon County,10195,10198,10201,10204,10207,10210,10213,10216,10219,10222,10225,10228,10231,10234,10237,10240,10243,10246,10249,10252,10255,10258,10259,10262,10261,10260,10258,10259,10270,10283,Alabama
1089,Madison County,109595,111141,112709,114299,115912,117547,119205,120887,122593,124323,126077,127856,129660,131489,133344,135225,137133,139068,141030,143020,145038,147084,148950,150632,152622,154512,156889,159098,161714,164272,Alabama
1091,Marengo County,9892,9908,9924,9940,9956,9972,9988,10005,10022,10039,10056,10073,10090,10107,10124,10141,10158,10175,10192,10209,10226,10243,10275,10285,10287,10291,10295,10314,10348,10379,Alabama
1093,Marion County,14242,14265,14288,14312,14336,14360,14384,14408,14432,14456,14480,14504,14528,14552,14576,14600,14624,14648,14672,14696,14720,14744,14759,14782,14796,14810,14823,14845,14889,14939,Alabama
1095,Marshall County,39165,39221,39277,39333,39389,39445,39501,39557,39613,39670,39727,39784,39841,39898,39955,40012,40069,40126,40183,40240,40297,40354,40404,40458,40491,40528,40557,40601,40691,40816,Alabama
1097,Mobile County,164039,164712,165388,166066,166747,167431,168118,168808,169500,170195,170893,171594,172298,173005,173715,174428,175143,175861,176582,177306,178033,178763,179473,180729,181311,181869,182300,182919,183885,184688,Alabama
1099,Monroe County,11020,11035,11050,11065,11080,11095,11110,11125,11140,11155,11170,11185,11200,11215,11230,11245,11260,11275,11290,11305,11320,11335,11340,11349,11354,11363,11370,11388,11418,11455,Alabama
1101,Montgomery County,92973,93369,93767,94167,94568,94971,95376,95783,96191,96601,97013,97426,97841,98258,98677,99098,99520,99944,100370,100798,101228,101659,102136,102675,103122,103398,103922,104493,104847,105162,Alabama
1103,Morgan County,48506,48631,48757,48883,49009,49136,49263,49390,49518,49646,49774,49903,50032,50161,50291,50421,50551,50682,50813,50944,51076,51208,51343,51430,51539,51649,51757,51880,52091,52273,Alabama
1105,Perry County,4613,4618,4623,4628,4633,4638,4643,4649,4655,4661,4667,4673,4679,4685,4691,4697,4703,4709,4715,4721,4727,4733,4734,4738,4738,4740,4743,4749,4762,4778,Alabama
1107,Pickens County,9132,9148,9164,9180,9197,9214,9231,9248,9265,9282,9299,9316,9333,9350,9367,9384,9401,9418,9435,9452,9469,9486,9495,9508,9514,9523,9533,9551,9587,9623,Alabama
1109,Pike County,13046,13145,13245,13345,13446,13548,13651,13754,13858,13963,14069,14176,14283,14391,14500,14610,14721,14832,14944,15057,15171,15286,15371,15456,15879,15953,16002,16052,16121,16226,Alabama
1111,Randolph County,11673,11688,11703,11718,11733,11748,11763,11778,11793,11808,11823,11838,11853,11868,11883,11898,11913,11928,11943,11958,11973,11988,11998,12014,12017,12023,12031,12045,12075,12109,Alabama
1113,Russell County,18055,18328,18605,18887,19173,19463,19758,20057,20361,20669,20982,21300,21622,21949,22281,22618,22960,23308,23661,24019,24383,24752,25555,26075,26636,26917,27117,27516,27638,27855,Alabama
1115,St. Clair County,31386,31570,31755,31941,32128,32317,32507,32698,32890,33083,33277,33472,33668,33866,34065,34265,34466,34668,34871,35076,35282,35489,35639,35871,35997,36192,36346,36557,36858,37179,Alabama
1117,Shelby County,64819,65518,66225,66939,67661,68391,69129,69874,70627,71389,72159,72937,73724,74519,75323,76135,76956,77786,78625,79473,80330,81196,81707,82301,83198,83982,84939,86037,87261,88388,Alabama
1119,Sumter County,6501,6515,6529,6543,6557,6571,6585,6599,6613,6627,6641,6655,6669,6683,6697,6711,6725,6739,6753,6767,6781,6795,6802,6811,6815,6822,6831,6848,6874,6909,Alabama
1121,Talladega County,35070,35164,35259,35354,35449,35544,35640,35736,35832,35928,36025,36122,36219,36316,36414,36512,36610,36709,36808,36907,37006,37106,37225,37352,37404,37479,37564,37622,37777,37910,Alabama
1123,Tallapoosa County,21093,21141,21189,21237,21285,21333,21381,21429,21477,21526,21575,21624,21673,21722,21771,21820,21869,21918,21968,22018,22068,22118,22129,22125,22167,22156,22218,22280,22395,22520,Alabama
1125,Tuscaloosa County,67037,67801,68573,69354,70144,70943,71751,72568,73395,74231,75076,75931,76796,77671,78556,79451,80356,81271,82197,83133,84080,85038,85614,86345,87215,88200,89538,90279,91779,93004,Alabama
1127,Walker County,29761,29811,29861,29911,29961,30011,30061,30111,30161,30212,30263,30314,30365,30416,30467,30518,30569,30620,30671,30722,30774,30826,30853,30893,30913,30941,30975,31032,31131,31241,Alabama
1129,Washington County,7999,8018,8037,8056,8075,8094,8113,8132,8151,8171,8191,8211,8231,8251,8271,8291,8311,8331,8351,8371,8391,8411,8424,8440,8452,8464,8480,8500,8536,8573,Alabama
1131,Wilcox County,5329,5344,5359,5374,5389,5404,5419,5434,5449,5464,5479,5494,5509,5524,5540,5556,5572,5588,5604,5620,5636,5652,5660,5672,5679,5690,5703,5721,5749,5780,Alabama
1133,Winston County,12788,12820,12852,12884,12916,12948,12980,13012,13045,13078,13111,13144,13177,13210,13243,13276,13309,13342,13375,13408,13442,13476,13491,13517,13537,13559,13587,13623,13681,13747,Alabama
2013,Aleutians East Borough,726,727,728,729,730,731,732,733,734,735,736,737,738,739,740,741,742,743,744,745,746,747,751,750,750,752,751,753,753,752,Alaska
2016,Aleutians West Census Area,1845,1849,1853,1857,1861,1865,1869,1873,1877,1881,1885,1889,1893,1897,1901,1905,1909,1913,1917,1921,1925,1929,1937,1939,1941,1944,1947,1949,1958,1963,Alaska
2020,Anchorage Municipality,100739,101298,101860,102425,102993,103564,104138,104716,105297,105881,106468,107059,107653,108250,108850,109454,110061,110671,111285,111902,112523,113147,113581,113976,114460,114939,115645,116412,117277,118236,Alaska
2050,Bethel Census Area,5636,5649,5662,5675,5688,5701,5715,5729,5743,5757,5771,5785,5799,5813,5827,5841,5855,5869,5883,5897,5911,5925,5938,5961,5972,5981,6000,6011,6025,6038,Alaska
2060,Bristol Bay Borough,947,948,949,950,951,952,953,954,955,956,957,958,959,960,961,962,963,964,965,966,967,968,969,968,968,971,972,975,976,976,Alaska
2068,Denali Borough,1790,1789,1788,1787,1786,1785,1784,1783,1782,1781,1780,1779,1778,1777,1776,1775,1774,1773,1772,1771,1770,1769,1768,1768,1767,1767,1766,1765,1764,1764,Alaska
2070,Dillingham Census Area,2364,2367,2370,2373,2376,2379,2382,2385,2388,2391,2394,2397,2400,2403,2406,2409,2412,2415,2418,2421,2424,2427,2429,2430,2430,2440,2444,2451,2452,2453,Alaska
2090,Fairbanks North Star Borough,35791,36056,36323,36592,36863,37136,37411,37688,37967,38248,38531,38816,39103,39392,39683,39977,40273,40571,40871,41173,41478,41785,42298,43021,43387,43664,43896,44133,44301,44300,Alaska
