Year,State,FIPS,Med_Inc,Areaname
1989,AL,01001,29113,"Autauga, AL"
1989,AL,01003,26276,"Baldwin, AL"
1989,AL,01005,20941,"Barbour, AL"
1989,AL,01007,21851,"Bibb, AL"
1989,AL,01009,26276,"Blount, AL"
1989,AL,01011,15628,"Bullock, AL"
1989,AL,01013,18971,"Butler, AL"
1989,AL,01015,25923,"Calhoun, AL"
1989,AL,01017,23518,"Chambers, AL"
1989,AL,01019,23327,"Cherokee, AL"
1989,AL,01021,23393,"Chilton, AL"
1989,AL,01023,20705,"Choctaw, AL"
1989,AL,01025,22290,"Clarke, AL"
1989,AL,01027,21714,"Clay, AL"
1989,AL,01029,24664,"Cleburne, AL"
1989,AL,01031,28107,"Coffee, AL"
1989,AL,01033,24155,"Colbert, AL"
1989,AL,01035,18589,"Conecuh, AL"
1989,AL,01037,21477,"Coosa, AL"
1989,AL,01039,21223,"Covington, AL"
1989,AL,01041,18064,"Crenshaw, AL"
1989,AL,01043,24571,"Cullman, AL"
1989,AL,01045,25682,"Dale, AL"
1989,AL,01047,18109,"Dallas, AL"
1989,AL,01049,22656,"DeKalb, AL"
1989,AL,01051,27628,"Elmore, AL"
1989,AL,01053,21761,"Escambia, AL"
1989,AL,01055,24363,"Etowah, AL"
1989,AL,01057,23690,"Fayette, AL"
1989,AL,01059,21881,"Franklin, AL"
1989,AL,01061,21772,"Geneva, AL"
1989,AL,01063,14634,"Greene, AL"
1989,AL,01065,15262,"Hale, AL"
1989,AL,01067,22919,"Henry, AL"
1989,AL,01069,27062,"Houston, AL"
1989,AL,01071,25252,"Jackson, AL"
1989,AL,01073,26347,"Jefferson, AL"
1989,AL,01075,23333,"Lamar, AL"
1989,AL,01077,25876,"Lauderdale, AL"
1989,AL,01079,23742,"Lawrence, AL"
1989,AL,01081,25925,"Lee, AL"
1989,AL,01083,28424,"Limestone, AL"
1989,AL,01085,15635,"Lowndes, AL"
1989,AL,01087,17649,"Macon, AL"
1989,AL,01089,35707,"Madison, AL"
1989,AL,01091,20347,"Marengo, AL"
1989,AL,01093,22344,"Marion, AL"
1989,AL,01095,23884,"Marshall, AL"
1989,AL,01097,23949,"Mobile, AL"
1989,AL,01099,22139,"Monroe, AL"
1989,AL,01101,27633,"Montgomery, AL"
1989,AL,01103,30575,"Morgan, AL"
1989,AL,01105,13557,"Perry, AL"
1989,AL,01107,19432,"Pickens, AL"
1989,AL,01109,20002,"Pike, AL"
1989,AL,01111,21113,"Randolph, AL"
1989,AL,01113,22500,"Russell, AL"
1989,AL,01115,26546,"St. Clair, AL"
1989,AL,01117,39230,"Shelby, AL"
1989,AL,01119,16747,"Sumter, AL"
1989,AL,01121,22595,"Talladega, AL"
1989,AL,01123,23752,"Tallapoosa, AL"
1989,AL,01125,25873,"Tuscaloosa, AL"
1989,AL,01127,23039,"Walker, AL"
1989,AL,01129,23287,"Washington, AL"
1989,AL,01131,15787,"Wilcox, AL"
1989,AL,01133,21511,"Winston, AL"
1989,AK,02013,50385,"Aleutians East, AK"
1989,AK,02016,47185,"Aleutians West, AK"
1989,AK,02020,42363,"Anchorage, AK"
1989,AK,02050,26193,"Bethel, AK"
1989,AK,02060,35070,"Bristol Bay, AK"
1989,AK,02070,39719,"Dillingham, AK"
1989,AK,02090,35757,"Fairbanks North Star, AK"
1989,AK,02100,42931,"Haines, AK"
1989,AK,02110,43573,"Juneau, AK"
1989,AK,02122,38889,"Kenai Peninsula, AK"
1989,AK,02130,44907,"Ketchikan Gateway, AK"
1989,AK,02150,44464,"Kodiak Island, AK"
1989,AK,02164,34749,"Lake and Peninsula, AK"
1989,AK,02170,34882,"Matanuska-Susitna, AK"
1989,AK,02180,27137,"Nome, AK"
1989,AK,02185,39871,"North Slope, AK"
1989,AK,02188,40501,"Northwest Arctic, AK"
1989,AK,02201,33652,
1989,AK,02220,42200,"Sitka, AK"
1989,AK,02232,44932,
1989,AK,02240,30932,"Southeast Fairbanks, AK"
1989,AK,02261,48985,"Valdez-Cordova, AK"
1989,AK,02270,24433,"Wade Hampton, AK"
1989,AK,02280,42068,
1989,AK,02290,26030,"Yukon-Koyukuk, AK"
1989,AZ,04001,19769,"Apache, AZ"
1989,AZ,04003,26115,"Cochise, AZ"
1989,AZ,04005,27705,"Coconino, AZ"
1989,AZ,04007,22610,"Gila, AZ"
1989,AZ,04009,22377,"Graham, AZ"
1989,AZ,04011,31886,"Greenlee, AZ"
1989,AZ,04012,22669,"La Paz, AZ"
1989,AZ,04013,32232,"Maricopa, AZ"
1989,AZ,04015,23119,"Mohave, AZ"
1989,AZ,04017,23038,"Navajo, AZ"
1989,AZ,04019,26727,"Pima, AZ"
1989,AZ,04021,23782,"Pinal, AZ"
1989,AZ,04023,22525,"Santa Cruz, AZ"
1989,AZ,04025,23358,"Yavapai, AZ"
1989,AZ,04027,23083,"Yuma, AZ"
1989,AR,05001,22532,"Arkansas, AR"
1989,AR,05003,24041,"Ashley, AR"
1989,AR,05005,20707,"Baxter, AR"
1989,AR,05007,26824,"Benton, AR"
1989,AR,05009,22308,"Boone, AR"
1989,AR,05011,19943,"Bradley, AR"
1989,AR,05013,21355,"Calhoun, AR"
1989,AR,05015,20347,"Carroll, AR"
1989,AR,05017,15640,"Chicot, AR"
1989,AR,05019,21363,"Clark, AR"
1989,AR,05021,19026,"Clay, AR"
1989,AR,05023,20879,"Cleburne, AR"
1989,AR,05025,22499,"Cleveland, AR"
1989,AR,05027,22045,"Columbia, AR"
1989,AR,05029,21950,"Conway, AR"
1989,AR,05031,24874,"Craighead, AR"
